player,start_x,start_y,end_x,end_y,is_box
Pedri,68.9,13.4,82.0,2.9,0
Pedri,76.5,16.9,80.4,37.5,0
Pedri,74.4,21.5,86.8,4.1,0
Pedri,67.3,20.5,87.2,2.9,0
Pedri,78.4,25.4,81.5,48.3,0
Pedri,75.6,26.5,88.2,3.7,0
Pedri,74.6,23.8,92.5,1.6,0
Pedri,68.7,16.7,87.8,2.8,0
Pedri,78.8,23.8,86.1,3.9,0
Pedri,77.1,25.2,87.8,4.7,0
Pedri,78.0,26.0,80.7,46.9,0
Pedri,79.8,19.6,87.6,3.9,0
Pedri,57.0,14.8,73.5,2.8,0
Pedri,77.7,20.2,85.9,5.7,0
Pedri,75.2,22.1,84.7,2.4,0
Pedri,79.4,25.9,92.2,3.9,0
Pedri,62.8,25.5,86.2,2.6,0
Eriksen,59.3,40.7,74.8,52.3,0
Eriksen,120.0,80.0,108.2,25.6,1
Eriksen,120.0,0.1,110.1,46.7,1
Eriksen,106.4,12.7,115.3,32.5,1
Eriksen,120.0,80.0,108.8,30.1,1
Eriksen,79.6,2.9,96.6,5.8,0
Eriksen,61.4,32.6,86.1,44.7,0
Eriksen,120.0,80.0,117.4,37.0,1
Eriksen,80.9,43.3,97.9,56.8,0
Eriksen,120.0,0.1,108.8,46.4,1
