player,angle,length,angle_degrees
Modrić,0.62604654,32.08489,35.86982452076808
Modrić,-0.87055755,23.277456,310.12072656175087
Modrić,0.98930407,21.30094,56.68294786611496
Modrić,-2.6597652,12.300406,207.6066795442307
Modrić,1.377912,13.041856,78.94854214043029
Modrić,1.2635375,10.911004,72.39536600651125
Modrić,1.437144,24.014162,82.34228575254917
Modrić,0.571155,32.92613,32.72477094779453
Modrić,-0.55986434,16.75858,327.92213621812266
Modrić,1.0773302,28.500175,61.726473601984885
Modrić,0.40786797,17.647663,23.369113279568477
Modrić,3.00858,14.326549,172.3789363274692
Modrić,-2.8828218,10.551303,194.8264777716929
Modrić,0.030066125,13.306014,1.7226620688127723
Modrić,-1.2880169,27.596014,286.2020676884762
Modrić,0.7853982,23.475945,45.00000209717174
Modrić,2.8679333,17.760912,164.32047401502658
Modrić,-1.5167948,29.643211,273.0940595726102
Modrić,0.24003637,29.444185,13.753070930640648
Modrić,-2.440897,15.0446005,220.1469036738559
Modrić,0.60228735,23.299786,34.50852320911864
Modrić,-2.0344439,11.85116,243.4349508738647
Modrić,2.1607037,14.560906,123.79920278830117
Modrić,-1.2609425,50.50515,287.7533165413252
Modrić,-0.348771,7.02282,340.0168936834428
Modrić,-0.89179105,7.324616,308.9041366274598
Modrić,1.8109673,15.1343975,103.760783126202
Modrić,-2.5124447,20.902153,216.04752242998774
Modrić,1.3620192,12.061924,78.03795177578478
Modrić,-0.9376499,13.520725,306.2766180691363
Modrić,0.8809963,36.298897,50.47736975664132
Modrić,-0.80552965,10.538027,313.8465507823496
Modrić,-0.15499674,19.432962,351.11934095971344
Modrić,-1.7776396,39.440716,258.14875342467616
Modrić,0.44151843,22.231958,25.297142616242272
Modrić,-3.1268878,20.402206,180.84252604905294
Modrić,-0.34500217,13.601471,340.23283173614504
Modrić,-1.4497185,26.493961,276.93724846796357
Modrić,1.5174489,20.629349,86.94341759676931
Modrić,0.8233546,11.18034,47.174743622682094
Modrić,-1.0348114,15.469324,300.70967418797596
Modrić,-1.2185984,12.465152,290.1794547586051
Modrić,1.0097831,48.304245,57.85630985363675
Modrić,0.0,11.7,0.0
Modrić,0.8480467,19.20026,48.589496739997074
Modrić,0.38588268,13.815933,22.1094489511973
Modrić,-1.9224524,14.80608,249.85159116520407
Modrić,2.877629,11.4982605,164.87599670445158
Modrić,0.30047718,7.4330344,17.21607425399275
Modrić,-0.58427125,7.4330344,326.523723284167
Modrić,-1.7604879,12.728315,259.13147344615066
Modrić,-1.5482438,39.91015,271.2921646027033
Modrić,-1.3417584,16.737085,283.1229065537739
Modrić,-0.7853982,9.192389,314.9999979028283
Modrić,-0.7853982,9.192389,314.9999979028283
Modrić,0.8913825,13.36862,51.072455181820104
Modrić,0.4115981,35.24344,23.58283398560361
Modrić,-0.6814794,11.588356,320.95410655489235
Modrić,1.9701893,16.71556,112.883531731834
Modrić,-2.0547457,8.811924,242.27174341734602
Modrić,1.2901186,11.552056,73.91835085132645
Modrić,0.0,10.1,0.0
Modrić,-0.32420754,12.870509,341.42427627168115
Modrić,-0.7131557,21.552261,319.1391882543021
Modrić,-0.7571038,14.996666,316.6211476066832
Modrić,-0.5910329,9.1525955,326.13630927662234
Modrić,-0.7664776,48.586933,316.0840684286835
Modrić,-1.7342727,9.831073,260.63349376524206
Modrić,-1.7503695,31.913164,259.71121506157584
Modrić,0.9817455,26.459213,56.249873705960766
Modrić,1.6283244,19.131649,93.29611579817205
Modrić,0.9756168,23.187065,55.89872506205893
Modrić,1.0892223,22.45373,62.40784074153241
Modrić,-0.3452449,12.114867,340.2189243315838
Modrić,-1.3462528,16.617159,282.8653964023303
Modrić,0.38633722,12.738916,22.135492174817177
Modrić,-1.0114665,14.511374,302.0472384311309
Modrić,-1.2633305,22.138203,287.61649421984794
Modrić,2.1428258,17.364332,122.77487457174422
Modrić,-1.192828,29.26568,291.65598991496904
Modrić,-0.5087298,5.9539905,330.85192954746555
Modrić,-0.5326677,37.61077,329.4803889070593
Modrić,0.47857186,14.983324,27.420147771725702
Modrić,-0.9073703,11.0421915,308.01151135448066
Modrić,0.97392195,21.883783,55.80161731015119
Modrić,1.7927424,23.168297,102.71657327415404
Modrić,1.1729773,48.26945,67.20664875465062
Modrić,0.81241864,20.938004,46.5481592697582
Modrić,0.6074446,9.986491,34.80401186801249
Modrić,-0.9156096,11.980818,307.5394342383385
Modrić,-1.207973,11.552056,290.7882453342434
Modrić,2.766022,18.811167,158.481386640335
Modrić,2.6856668,11.583178,153.87737281840535
Modrić,1.7870158,17.712425,102.38846326319442
Modrić,0.7853982,14.142136,45.00000209717174
Modrić,2.3896394,19.031815,136.91625217817435
Modrić,-0.8814869,23.584742,309.49452093392955
Modrić,1.7329952,16.71945,99.29331087643
Modrić,1.5707964,9.5,90.00000419434348
Pedri,2.323479,19.455847,133.125540487277
Pedri,1.8115938,34.804165,103.79667893206695
Pedri,-0.30400094,10.690183,342.5820291699902
Pedri,1.735455,33.553837,99.43424703487628
Pedri,0.8611458,31.769482,49.340019885416886
Pedri,-0.6989093,24.557688,319.9554468475573
Pedri,-0.9843135,18.249657,303.6029907322496
Pedri,2.237354,19.085073,128.19094147671277
Pedri,0.6839512,11.869709,39.18751715290807
Pedri,1.0713164,59.920364,61.381908243149105
