player,team,primary_position,matches_played,passes_per_match,progression_rate_pct,final_third_per_match,box_passes_per_match,key_passes_per_match
Dominik Livaković,Croatia,Goalkeeper,7,27.0,35.45,0.86,0.0,0.0
Marcelo Brozović,Croatia,Center Defensive Midfield,6,78.7,9.11,6.5,0.33,0.83
Dejan Lovren,Croatia,Right Center Back,6,67.8,16.95,2.83,0.17,0.0
Josip Juranović,Croatia,Right Back,6,54.3,14.11,4.0,2.33,1.0
Borna Sosa,Croatia,Left Back,5,44.4,13.96,2.8,0.8,0.4
Noussair Mazraoui,Morocco,Left Back,5,20.6,18.45,0.8,0.2,0.2
Pablo Martín Páez Gavira,Spain,Right Center Midfield,4,33.8,2.96,1.25,1.25,0.5
Aymeric Laporte,Spain,Left Center Back,3,134.7,13.61,8.67,1.0,0.33
Rodrigo Hernández Cascante,Spain,Right Center Back,4,161.0,11.96,11.75,0.75,1.0
Daniel Olmo Carvajal,Spain,Left Wing,4,40.0,4.38,1.0,1.75,0.75
Pedro González López,Spain,Left Center Midfield,4,98.8,12.15,15.75,2.0,1.25
Jordi Alba Ramos,Spain,Left Back,4,82.2,9.12,6.25,1.5,0.75
Nayef Aguerd,Morocco,Right Center Back,4,33.2,19.55,1.5,0.0,0.25
Sergio Busquets i Burgos,Spain,Center Defensive Midfield,4,66.2,9.43,6.0,0.5,0.75
Unai Simón Mendibil,Spain,Goalkeeper,4,37.0,27.7,0.0,0.0,0.0
Alejandro Balde Martínez,Spain,Left Back,4,27.8,10.81,1.5,0.5,0.0
Wataru Endo,Japan,Right Defensive Midfield,3,51.0,10.46,5.0,1.0,1.33
Maya Yoshida,Japan,Center Back,4,50.2,13.93,3.0,0.0,0.0
Hidemasa Morita,Japan,Left Defensive Midfield,3,42.7,14.06,3.67,0.67,1.0
Sergino Dest,United States,Right Back,4,43.5,9.77,3.75,1.0,0.5
Walker Zimmerman,United States,Right Center Back,4,53.0,15.57,1.5,0.0,0.0
Tim Ream,United States,Left Center Back,4,60.2,19.92,4.5,0.0,0.0
Tyler Adams,United States,Center Defensive Midfield,4,61.5,13.01,6.5,0.5,0.5
Antonee Robinson,United States,Left Back,4,43.8,18.29,3.5,1.25,0.75
Yunus Dimoara Musah,United States,Left Center Midfield,4,38.5,11.69,3.0,1.5,0.75
Weston McKennie,United States,Right Center Midfield,4,29.2,20.51,4.25,1.5,0.75
Daniel Carvajal Ramos,Spain,Right Back,2,61.0,7.38,5.5,0.0,0.0
Niklas Süle,Germany,Right Center Back,3,77.7,20.6,8.33,0.67,0.0
Manuel Neuer,Germany,Goalkeeper,3,37.0,43.24,0.0,0.0,0.0
Antonio Rüdiger,Germany,Left Center Back,3,75.7,14.1,8.0,0.0,0.0
David Raum,Germany,Left Back,3,50.3,7.95,4.33,3.67,2.33
Joshua Kimmich,Germany,Right Defensive Midfield,3,76.3,16.59,9.0,4.0,2.67
İlkay Gündoğan,Germany,Left Defensive Midfield,3,49.3,12.84,5.67,1.67,0.33
Nico Schlotterbeck,Germany,Left Center Back,2,56.0,14.29,4.5,1.0,1.0
Ngoran Suiru Fai Collins,Cameroon,Right Back,3,34.3,22.33,5.0,0.0,0.67
André-Frank Zambo Anguissa,Cameroon,Right Center Midfield,3,38.3,12.17,4.67,0.33,0.0
Joel Nathaniel Campbell Samuels,Costa Rica,Center Forward,3,35.0,11.43,2.67,2.0,0.33
Ko Itakura,Japan,Right Center Back,3,34.0,12.75,4.0,0.0,0.0
